"year","month","flow","port","region","volumen_10k_m3","volume_MCF","value_US","avgPrice_US_MMBTU"
1991,"June","Exports","Highwater","East",18020.4,636137.453473332,1601348.01,2.51
1991,"June","Exports","Huntingdon","West",508195.6,17939793.5034934,25224017.16,1.36
1991,"June","Exports","Kingsgate","West",1057573,37333344.1589616,76830420.59,2.04
1991,"June","Exports","Monchy","MidWest",781231,27578205.7509503,35083646.41,1.25
1991,"June","Exports","Niagara Falls","East",388518,13715059.1079306,32738448.5,2.38
1991,"June","Exports","Philipsburg","East",13738.1,484968.144411999,1270221.69,2.61
1991,"June","Exports","Reagan Field","MidWest",393,13873.2780190795,23450.36,1.34
1991,"June","Exports","Sprague","MidWest",307.5,10855.0457782874,32450.7,2.98
1991,"June","Exports","St Clair","MidWest",10493,370412.993013234,504866.1,1.36
1991,"June","Imports","Coutts","MidWest",23.5,829.572604194319,1484.2,1.79
1991,"June","Imports","Ojibway (Windsor)","MidWest",851.6,30062.2991375269,45208.9,1.5
1991,"June","Imports","St Clair","MidWest",12543,442779.964868483,840466.54,1.87
1991,"July","Exports","Aden","MidWest",13565.7,478882.258583782,819380.71,1.7
1991,"July","Exports","Cardston","MidWest",16617,586596.083570085,583882.59,0.94
1991,"July","Exports","Cornwall","East",13868.4,489567.859745042,2017624.35,4.1
1991,"July","Exports","Emerson","MidWest",755387.2,26665894.7523002,46869448.92,1.75
1991,"July","Exports","Fort Frances","East",11574.2,408580.392998548,998044.83,2.43
1991,"July","Exports","Highwater","East",16432.2,580072.465814549,1599224.11,2.74
1991,"July","Exports","Huntingdon","West",422334.1,14908799.9649814,21760566.94,1.41
1991,"July","Exports","Kingsgate","West",1046385.8,36938425.2382109,75381494.59,2.01
1991,"July","Exports","Monchy","MidWest",788954.4,27850849.199939,31612976.62,1.12
1991,"July","Exports","Niagara Falls","East",398149,14055042.6718027,31718677.85,2.24
1991,"July","Exports","Philipsburg","East",12175.7,429813.921569735,1244679.93,2.88
1991,"July","Exports","Reagan Field","MidWest",295.1,10417.3138509678,17608.21,1.34
1991,"July","Exports","Sprague","MidWest",307,10837.3952973471,32246.34,2.96
1991,"July","Exports","St Clair","MidWest",28437.2,1003860.51319126,1474424.76,1.46
1991,"July","Imports","Coutts","MidWest",14.4,508.333851080774,882.07,1.75
1991,"July","Imports","Ojibway (Windsor)","MidWest",5398.5,190572.242712469,241474.64,1.25
1991,"July","Imports","St Clair","MidWest",12961.1,457539.297030766,774519.53,1.69
1991,"August","Exports","Aden","MidWest",7502.3,264838.406316895,461937.8,1.71
1991,"August","Exports","Cardston","MidWest",4341.9,153273.246389418,156159.3,0.96
1991,"August","Exports","Cornwall","East",18042.7,636924.66492327,2312802.37,3.61
1991,"August","Exports","Emerson","MidWest",764502.9,26987687.7305153,44218641.43,1.63
1991,"August","Exports","Fort Frances","East",13417.7,473657.716225452,1158384.16,2.43
1991,"August","Exports","Highwater","East",17250.6,608962.773017639,1669634.23,2.73
1991,"August","Exports","Huntingdon","West",446915.2,15776536.4390649,22652105.52,1.41
1991,"August","Exports","Kingsgate","West",892425.5,31503478.5567837,60233105.57,1.89
1991,"August","Exports","Monchy","MidWest",882572.3,31155651.1191817,35507806.69,1.12
1991,"August","Exports","Niagara Falls","East",438527.5,15480442.5610989,33859926.02,2.17
1991,"August","Exports","Ojibway (Windsor)","MidWest",4620.7,163115.154561731,204143.08,1.24
1991,"August","Exports","Philipsburg","East",13476.7,475740.472976408,1310074.12,2.74
1991,"August","Exports","Reagan Field","MidWest",271.8,9594.80143914961,16220.24,1.34
1991,"August","Exports","Sprague","MidWest",302.7,10685.6011612604,31916.34,2.97
1991,"August","Exports","St Clair","MidWest",58785.7,2075191.75482494,2524311.25,1.21
1991,"August","Imports","Coutts","MidWest",13.3,469.502793012104,,
1991,"August","Imports","St Clair","MidWest",12961.1,457539.297030766,,
1991,"September","Exports","Aden","MidWest",17352.8,612570.531321837,1053002.93,1.72
1991,"September","Exports","Cardston","MidWest",9691.2,342108.681777361,340165.82,0.98
1991,"September","Exports","Cornwall","East",14290.4,504464.865658659,2059244.11,4.06
1991,"September","Exports","Emerson","MidWest",746569.3,26354614.4005332,47838417.55,1.81
1991,"September","Exports","Fort Frances","East",14041.4,495674.926150388,1218131.52,2.44
1991,"September","Exports","Highwater","East",18068.2,637824.839451225,1705848.54,2.66
1991,"September","Exports","Huntingdon","West",484921.8,17118205.9768765,24983446.47,1.4
1991,"September","Exports","Kingsgate","West",1055350.4,37254884.2410858,70440351.82,1.86
1991,"September","Exports","Monchy","MidWest",852412.8,30090991.7593435,37070059.64,1.21
1991,"September","Exports","Niagara Falls","East",387694.4,13685985.2357257,31066289.42,2.26
1991,"September","Exports","Ojibway (Windsor)","MidWest",29810.7,1052346.38433428,1118539.2,1.05
1991,"September","Exports","Philipsburg","East",9287.1,327843.563081407,1186373.21,3.6
1991,"September","Exports","Reagan Field","MidWest",333.7,11779.9309795593,19917.22,1.34
1991,"September","Exports","Sprague","MidWest",463.8,16372.5861202266,49244.15,2.99
1991,"September","Exports","St Clair","MidWest",124065,4379613.8357178,6216444.16,1.41
1991,"September","Imports","Coutts","MidWest",25.8,910.764816519721,1573.71,1.74
1991,"September","Imports","St Clair","MidWest",19108,674530.779614683,1160766.36,1.69
1991,"October","Exports","Aden","MidWest",28058.7,990499.099119453,1701239.37,1.73
1991,"October","Exports","Cardston","MidWest",14417,508933.967432745,520605.74,0.98
1991,"October","Exports","Cornwall","East",16112.9,568800.86868607,2214235.06,3.87
1991,"October","Exports","Emerson","MidWest",828023.9,29230040.1301335,60331783.53,2.05
1991,"October","Exports","Fort Frances","East",16993.3,599879.835525758,1468336.6,2.44
1991,"October","Exports","Highwater","East",21681.2,765367.214725867,2141712.55,2.79
1991,"October","Exports","Huntingdon","West",538205.4,18999168.3093381,28974490.89,1.47
1991,"October","Exports","Kingsgate","West",1200287.6,42371306.8133681,78819633.75,1.83
1991,"October","Exports","Monchy","MidWest",981143.7,34635316.3531,52109925.7,1.48
1991,"October","Exports","Niagara Falls","East",411020.5,14509419.002649,34412264.04,2.36
1991,"October","Exports","Ojibway (Windsor)","MidWest",25050,884289.095109264,1243310.83,1.4
1991,"October","Exports","Philipsburg","East",15135.4,534294.178447774,1534963.08,2.86
1991,"October","Exports","Reagan Field","MidWest",386.7,13650.8819592316,23072.9,1.34
1991,"October","Exports","Sprague","MidWest",999.8,35293.9016882332,114808.64,3.24
1991,"October","Exports","St Clair","MidWest",219380.3,7744335.60765664,13119832.72,1.68
